Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed,latitude,longitude
15965,Lugulu Friends Mission Hospital,Lugulu Friends Mission Hospital,,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,110,0,110,Bungoma,Webute West,Webuye West,Misikhu,Operational,No,No,No,No,,Yes,Yes,No,0.6613,34.7528
15969,Lumakanda Sub County Hospital,Lumakanda Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,45,3,48,Kakamega,Lugari,Lugari,Lumakanda,Operational,Yes,No,Yes,No,,Yes,Yes,No,0.6348,34.9762
16008,Matunda Sub-District Hospital,Matunda Sub-County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,10,0,10,Kakamega,Likuyani,Likuyani,Nzoia,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,0.8257,35.11558
15999,Manyala Sub-District Hospital,Manyala Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,32,0,32,Kakamega,Butere,Butere,Marama South,Operational,Yes,No,No,No,,Yes,Yes,No,0.1604,34.4526
16010,Mautuma Sub County Hospital,Mautuma Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,15,0,15,Kakamega,Lugari,Lugari,Mautuma,Operational,No,No,No,No,,Yes,Yes,No,0.7248,34.9817
16025,Mt Elgon Sub County Hospital,Mt Elgon Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,31,0,31,Bungoma,Mt. Elgon,Mt Elgon,Elgon,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
16030,Mukumu Hospital,Mukumu Hospital,,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,228,20,248,Kakamega,Shinyalu,Shinyalu,Isukha South,Operational,Yes,No,Yes,No,,Yes,Yes,No,0.2158,34.7684
16037,Matungu Sub-County Hospital,Matungu Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,64,4,68,Kakamega,Matungu,Matungu,Mayoni,Operational,Yes,No,No,No,,Yes,Yes,No,,
16061,Naitiri Sub-County Hospital,Naitiri Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,20,0,20,Bungoma,Tongaren,Tongaren,Mbakalo,Operational,Yes,No,No,No,,Yes,Yes,No,,
16066,Nambale Sub County Hospital,Nambale Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,25,1,26,Busia,Nambale,Nambale,Nambale,Operational,Yes,No,Yes,Yes,,Yes,Yes,No,,
16073,Holy Family Nangina Mission Hospital,Holy Family Nangina Mission Hospital,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,96,5,101,Busia,Funyula,Samia,Nangina,Operational,Yes,Yes,Yes,No,,Yes,Yes,No,,
16107,Shibwe Sub-County Hospital,Shibwe Sub-County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,15,2,17,Kakamega,Ikolomani,Ikolomani,Idakho Central,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
