Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed,latitude,longitude
20164,LeseruTrinity Mission Hospital,LeseruTrinity Mission Hospital,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,24,4,28,Uasin Gishu,Turbo,Turbo,Kamagut,Operational,No,No,No,No,,Yes,Yes,No,,
20123,Avenue Hospital Kisumu,Avenue Hospital Kisumu,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,70,6,76,Kisumu,Kisumu Central,Kisumu Central,Railways,Operational,No,No,No,No,,Yes,Yes,No,,
20102,Gethsemane Garden Mission Hospital,Gethsemane Garden Mission Hospital,,Level 4,Primary care hospitals,HOSPITALS,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,0,Homa Bay,Mbita,Mbita,Mfangano Island,Operational,No,No,No,No,,Yes,Yes,No,,
20072,Melchizedek Hospital Karen,Melchizedek Hospital Karen,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Nairobi,Langata,Langata,Karen,Operational,No,No,Yes,No,,Yes,Yes,No,,
20061,Nairobi Women's Hospital,Nairobi Women's Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,30,0,30,Nakuru,Nakuru Town East,Nakuru East,Menengai,Operational,No,No,Yes,No,,Yes,Yes,No,,
20057,Sagam Hospital,Shepherd Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,0,Narok,Narok North,Narok North,Narok Town,Operational,No,No,No,No,,Yes,Yes,No,,
20020,St Akidiva Mindira Hospital - Mabera,St Akidiva Mindira Hospital-Mabera,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Ministry of Health,2,0,2,Migori,Kuria West,Kuria West,Tagare,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
20005,Mogotio  Sub-County Hospital Baringo,Mogotio Sub County Hospital (Baringo),,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,40,2,42,Baringo,Mogotio,Mogotio,Mogotio,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
19990,Racecourse Hospital,Racecourse Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,70,7,77,Uasin Gishu,Kesses,Kesses,Racecourse,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
19963,Holy family catholic hospital githunguri,Holy family Catholic Hospital (Githunguri),,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,45,3,48,Kiambu,Githunguri,Githunguri,Githunguri,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19912,Matercare Maternity Hospital,MaterCare Maternity Hospital,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,50,60,110,Isiolo,Isiolo North,Isiolo,Bulla Pesa,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19714,Karen Hospital (Karatina),Karen Hospital (Karatina),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,0,Nyeri,Mathira,Mathira East,Karatina Town,Operational,No,No,Yes,No,,Yes,Yes,No,,
19603,St Judes Nursing Home Hospital,St Judes Nursing Home Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,10,0,10,Kiambu,Gatundu South,Gatundu South,Ngenda,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19543,The Mater Hospital (Westlands),The mater Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19432,Mariakani Cottage Hospital Utawala,Mariakani Cottage Hospital (Utawala),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,5,2,7,Nairobi,Embakasi East,Embakasi East,Utawala,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
19334,Light Hospital,Light Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,10,0,10,Nakuru,Naivasha,Naivasha,Viwandani,Operational,No,Yes,Yes,Yes,,Yes,Yes,No,,
19320,Mulatya Memorial Hospital (Makindu),Mulatya Memorial Hospital (Makindu),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,60,2,62,Makueni,Kibwezi West,Kibwezi West,Makindu,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19318,Juja Road Hospital (Nairobi),Juja Road Hospital (Nairobi),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,6,0,6,Nairobi,Starehe,Starehe,Pangani,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19316,Lad Nan Hospital,LAD NAN Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,8,0,8,Nairobi,Starehe,Starehe,Pangani,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19280,St Louis Community Hospital,St Louis community Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,0,Nairobi,Roysambu,Roysambu,Zimmerman,Operational,No,No,Yes,No,,Yes,Yes,No,,
19264,Githurai Health Care and Dental Hospital,Githurai Health Care Medical Clinic,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,0,Kiambu,Ruiru,Ruiru,Kiuu,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19237,Mutuati Catholic Hospital,Mutuati Catholic Mission Hospital,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,12,2,14,Meru,Igembe North,Igembe North,Amwathi,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,0.3813,37.9804
19203,Samaad Hospital,Samaad Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,30,3,33,Wajir,Wajir East,Wajir East,Barwago,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19139,Mai Mahiu Maternity and Hospital,Mai Mahiu Maternity and Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,9,5,14,Nakuru,Naivasha,Naivasha,Mai Mahiu,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19101,The Nairobi Hospital Out-Patient Centre Galeria,The Nairobi Hospital Out-patient Centre Galeria,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,No,No,Yes,No,,Yes,Yes,No,,
19065,Nyali Childrens Hospital,Nyali Childrens Hospital (Likoni),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,4,0,4,Mombasa,Likoni,Likoni,Timbwani,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19037,Medina Hospital,Medina Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,30,10,40,Garissa,Garissa Township,Garissa,Iftin,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19023,Swiss Cottage Hospital,Swiss Cottage Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,4,0,4,Kilifi,Kilifi South,Kilifi South,Shimo La Tewa,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
19010,Medina Diagnostic,Medina Diagnostic,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Garissa,Garissa Township,Garissa,Township,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18952,Siana Community Hospital,Siana Community Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,13,0,13,Kajiado,Kajiado Central,Kajiado Central,Ildamat,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18901,Clay Hill Hospital,Clay Hill Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,30,0,30,Kajiado,Kajiado North,Kajiado North,Olkeri,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18856,Laisamis Sub county Referral Hospital(Marsabit South),Laisamis Sub county Referral Hospital (MARSABIT SOUTH),,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,14,4,18,Marsabit,Laisamis,Laisamis,Laisamis,Operational,Yes,No,No,No,,Yes,Yes,No,,
18852,Lumboka Medical Services,Lumboka medical Services,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,60,12,72,Bungoma,Kanduyi,Kanduyi,Khalaba,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
18810,Montana Hospital,Montana Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,6,2,8,Mombasa,Kisauni,Kisauni,Mtopanga,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18799,Ifo 2 Hospital,Ifo 2 Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,30,10,40,Garissa,Daadab,Dadaab,Dadaab,Operational,Yes,No,Yes,No,,Yes,Yes,No,0.1076,40.3051
18784,Medicatia Hospital,Medicatia Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,9,0,9,Narok,Narok North,Narok North,Narok Town,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18776,St Lukes Orthopaedic and Trauma Hospital,St Lukes Orthopaedic and Trauma Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,60,0,60,Uasin Gishu,Ainabkoi,Ainabkoi,Kapsoya,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18738,Aga Khan University Hospital(Machakos),Aga Khan University Hospital(Machakos),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Machakos,Machakos Town,Machakos,Machakos Central,Operational,No,No,Yes,No,,Yes,Yes,No,,
18651,Wajir Tb Manyatta Sub - District Hospital,Wajir TB Manyatta Sub -District Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,84,0,84,Wajir,Wajir East,Wajir East,Township,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18597,Mercylight Hospital,Mercylight Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,16,3,19,Kiambu,Kiambu,Kiambu Town,Township,Operational,Yes,Yes,Yes,No,,Yes,Yes,No,,
18596,Kambu Sub County Hospital,Kambu Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,15,2,17,Makueni,Kibwezi East,Kibwezi East,Mtito Andei,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18485,Ruaraka Uhai Neema Hospital,Ruaraka Uhai Neema Hospital,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,Nairobi,Ruaraka,Ruaraka,Babandogo,Operational,Yes,No,Yes,No,,Yes,Yes,No,-1.2274,36.883606
18476,The Mater Hospital Thika Satellite,The Mater Hospital Thika Satellite,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,Kiambu,Thika Town,Thika Town,Township,Operational,No,No,Yes,No,,Yes,Yes,No,,
18414,Masaba Hospital Kisumu,Masaba Hospital Kisumu,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,25,5,30,Kisumu,Kisumu West,Kisumu West,North West Kisumu,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18382,Afraha Maternity and Nursing Home,Afraha Maternity and Nursing Home,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,25,6,31,Nakuru,Nakuru Town East,Nakuru East,Biashara,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
18328,The Aga Khan University Hospital (Meru),The Aga Khan University Hospital (Meru),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,No,No,Yes,No,,Yes,Yes,No,,
18327,The Karen Hospital (Meru),The Karen Hospital (Meru),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,No,No,Yes,No,,Yes,Yes,No,,
18271,Bristal Park Hospital,Bristal Park Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,8,2,10,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18266,Mediheal Hospital Nakuru,Mediheal Hospital (Nakuru),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,70,4,74,Nakuru,Nakuru Town East,Nakuru East,Menengai,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18238,Ngong Rapha Hospital,Ngong Rapha Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,10,10,20,Kajiado,Kajiado North,Kajiado North,Ngong,Operational,Yes,No,Yes,No,,Yes,Yes,No,-1.3476507,36.637255
18200,Kalimoni Hospital (Ruiru),Kalimoni Hospital,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,Kiambu,Ruiru,Ruiru,Biashara,Operational,No,No,No,No,,Yes,Yes,No,,
18195,Nairobi Women Hospital Ongata Rongai,Nairobi Women Hospital Ongata Rongai,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,77,20,97,Kajiado,Kajiado North,Kajiado North,Nkaimurunya,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18190,St Paul's Hospital,St Paul's Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,5,0,5,Kajiado,Kajiado East,Kajiado East,Kitengela,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18177,Cedar Hospital,Cedar Hospital -Eldoret,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,33,3,36,Uasin Gishu,Turbo,Turbo,Huruma,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18084,Mariakani Cottage Hospital Ongata Rongai,Mariakani Cottage Hospital (Ongata Rongai),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,10,1,11,Kajiado,Kajiado North,Kajiado North,Nkaimurunya,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
18061,Neema Hospital (Ruiru),Neema Hospital (Ruiru),,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,Kiambu,Ruiru,Ruiru,Kahawa/Sukari,Operational,No,No,Yes,No,,Yes,Yes,No,,
18005,South B Hospital Ltd,South B Hospital LTD,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,33,3,36,Nairobi,Starehe,Starehe,Nairobi South,Operational,Yes,No,No,No,,Yes,Yes,No,,
17979,Shalom Community Hospital (Athi River),Shalom Community Hospital (Athi River),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,150,10,160,Machakos,Mavoko,Athi River,Athi River,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
17943,St Francis Community Hospital (Kasarani),St Francis Community Hospital,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,145,0,145,Nairobi,Kasarani,Kasarani,Kasarani,Operational,Yes,No,No,No,,Yes,Yes,No,,
17757,Baraka Hospital,Baraka Hospital,,Level 4,Primary care hospitals,HOSPITALS,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,37,6,43,Narok,Narok West,Narok West,Mara,Operational,Yes,No,No,Yes,,Yes,Yes,No,,
17657,The Mater Hospital Buruburu,The Mater Hospital Buruburu,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,Nairobi,Makadara,Makadara,Harambee,Operational,No,No,Yes,No,,Yes,Yes,No,,
17632,Kapsabet Health Care Centre,Kapsabet Health Care Centre,A2837,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,15,2,17,Nandi,Chesumei,Chesumei,Chemundu/Kapng'etunyi,Operational,Yes,No,No,No,,Yes,Yes,No,,
17618,Silvercrest Medicare Hospital,Silvercrest Medicare Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,20,0,20,Kirinyaga,Mwea,Kirinyaga South,Tebere,Operational,Yes,Yes,Yes,No,,Yes,Yes,No,,
17490,Nazareth Hospital (Ruiru),Nazareth Hospital (Ruiru),,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,Kiambu,Ruiru,Ruiru,Biashara,Operational,No,No,No,No,,Yes,Yes,No,,
17411,Mama Lucy Kibaki Hospital - Embakasi,Mama Lucy Kibaki Hospital (Embakasi),,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,112,12,124,Nairobi,Embakasi West,Embakasi West,Umoja II,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
17397,Cure (AIC) International Hospital,Cure (AIC) international Children's Hospital,1,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,30,0,30,Kiambu,Lari,Lari,Kijabe,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
17391,St Mac's Hospital,St Mac's Hospital,2362626,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,3,0,3,Nairobi,Kibra,Langata,Nyayo Highrise,Operational,Yes,No,Yes,No,,Yes,Yes,No,-1.312,36.7979
17376,Victoria Sub District Hospital,Victoria Hospital Kisumu,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,25,2,27,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Operational,Yes,No,Yes,No,,Yes,Yes,No,-0.1088,34.7503
17352,Barnet Memorial Hospital,Barnet Memorial Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,17,0,17,Baringo,Baringo Central,Baringo Central,Kabarnet,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
17243,Reale Hospital Eldoret,Reale Hospital Eldoret,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Ministry of Health,63,20,83,Uasin Gishu,Kesses,Kesses,Racecourse,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
16991,Katulani Sub County Hospital (Kitui),Katulani Sub County Hospital (Kitui),,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,50,6,56,Kitui,Kitui Central,Kitui Central,Mulango,Operational,Yes,No,No,No,,Yes,Yes,No,,
16979,Emusire Sub County Hospital,Emusire Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Vihiga,Emuhaya,Emuhaya,Central Bunyore,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
14455,Endebess Sub-County Hospital,Endebess Sub- County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,20,8,28,Trans Nzoia,Endebess,Endebess,Endebess,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
16795,Nairobi Womens Hospital Adams,Nairobi Womens Hospital Adams,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,,Yes,Yes,No,,
10565,Kianyaga Sub-District Hospital,Kianyaga Sub-District Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,45,0,45,Kirinyaga,Gichugu,Kirinyaga East,Baragwi,Operational,Yes,No,Yes,No,,Yes,Yes,No,-0.50418,37.32452
14579,Kaapoka Health Centre,Kaapoka  Health Centre,,Level 4,Basic Health Centre,HEALTH CENTRE,Non-Governmental Organizations,Non-Governmental Organizations,Other,20,6,26,Turkana,Turkana West,Turkana West,Kakuma,Operational,Yes,No,No,No,,Yes,Yes,No,,
13411,Modogashe Hospital,Modogashe Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,20,3,23,Garissa,Lagdera,Lagdera,Modogashe,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
13798,Mbita Sub-County Hospital,Mbita Sub-County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,21,0,21,Homa Bay,Mbita,Mbita,Kasgunga,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
12230,Kathiani Sub County Hospital,Kathiani Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,188,3,191,Machakos,Kathiani,Kathiani,Kathiani Central,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
10782,Muriranjas Sub-District Hospital,Muriranjas Sub-District Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,60,8,68,Muranga,Kiharu,Kiharu,Mugoiri,Operational,No,No,No,No,,Yes,Yes,No,-0.7432,36.9731
13805,Migori County Referral Hospital,Migori County Referral Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,100,10,110,Migori,Suna East,Suna East,Suna Central,Operational,No,No,No,No,,Yes,Yes,No,,
13789,Matata Nursing Hospital,Matata Nursing Hospital,,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,89,15,104,Homa Bay,Kasipul,Rachuonyo South,West Kamagak,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
16141,St Mary's Hospital (Mumias),St Mary's Hospital (Mumias),,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,Kakamega,Mumias West,Mumias West,Mumias Central,Operational,No,No,No,No,,Yes,Yes,No,,
13810,Miranga Sub County Hospital,Miranga Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,13,0,13,Kisumu,Seme,Seme,East Seme,Operational,Yes,No,Yes,Yes,,Yes,Yes,No,,
13807,Migosi Sub County Hospital,Migosi Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,12,0,12,Kisumu,Kisumu Central,Kisumu Central,Migosi,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
13814,Misesi Sub County Hospital,Misesi Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kisii,Bomachoge Chache,Bomachoge Chache,Majoge Basi,Operational,No,No,No,No,,Yes,Yes,No,,
12777,Sultan Hamud Sub  County  Hospital,Sultan Hamud Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,30,4,34,Makueni,Kilome,Kilome,Kasikeu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
13833,Muhuru Sub-County Hospital,Muhuru Sub-County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,12,0,12,Migori,Nyatike,Nyatike,Muhuru,Operational,No,No,No,No,,Yes,Yes,No,,
13831,Muhoroni County Hospital,Muhoroni County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,32,0,32,Kisumu,Muhoroni,Muhoroni,Muhoroni Koru,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
13841,Ndhiwa Sub-District Hospital,Ndhiwa Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,9,0,9,Homa Bay,Ndhiwa,Ndhiwa,Kanyamwa Kosewe,Operational,No,No,No,No,,Yes,Yes,No,-0.7317,34.367
10777,Murang'a District Hospital,Murang'a District Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,270,58,328,Muranga,Kiharu,Kiharu,Township,Operational,Yes,No,Yes,No,,Yes,Yes,No,-0.7159,37.1599
13847,Nduru Sub County Referral Hospital,Nduru Sub County Referral Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,32,5,37,Kisii,South Mugirango,South Mugirango,Bogetenga,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
12488,Matuu District Hospital,Matuu District Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,40,10,50,Machakos,Yatta,Yatta,Matuu,Operational,Yes,No,Yes,No,,Yes,Yes,No,-1.1483,37.5475
13365,Hulugho Sub County Hospital,Hulugho Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,14,2,16,Garissa,Ijara,Hulugho,Hulugho,Operational,Yes,Yes,Yes,No,,Yes,Yes,No,,
13781,Maseno Mission Hospital,Maseno Mission Hospital,,Level 4,Primary care hospitals,HOSPITALS,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,78,30,108,Kisumu,Kisumu West,Kisumu West,North West Kisumu,Operational,Yes,No,Yes,No,,Yes,Yes,No,0.0035,34.6102
16436,Kimiti Level 4 Hospital,Kimiti Level 4 Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,15,7,22,Machakos,Matungulu,Matungulu,Matungulu West,Operational,Yes,No,No,No,,Yes,Yes,No,,
